የሚመጣውን ; [1280, 1280]
አስቀረው ; [594, 594, 594]
በደንብ ; [222, 113]
ከሄደ ; [1644, 1644]
ከባህር ; [201]
ወጣ ; [805, 805, 1]
የምወደው ; [541, 541]
አለኝ ; [10430, 10430, 1849, 1849]
ለዚህ ; [14266, 1]
አርዶ ; [4, 2]
መምህሩ ; [339]
ተማሪዎቹን ; [549]
ተሰለፉ ; [1, 1]
አላቸው ; [10430, 10430, 1849, 1849]
እንደሚመጣ ; [1280, 1280]
ዕቅዳችንን ; [158, 1]
መለወጥ ; [149]
ይኖርብናል ; [380, 380]
አልታወቀም ; [1643, 1643]
በዚህ ; [14266, 1]
ተናጋሪው ; [40]
ሺህ ; [609, 363, 363, 363]
አላግዘኝ ; [17, 1]
አለች ; [10430, 10430, 1849, 1849]
እንደማን ; [442, 111, 6, 6]
የምትደንሰው ; [8, 8]
እንደምትለኝ ; [10430]
አንቀው ; [14, 14]
ገዛህ ; [79, 79]
አየ ; [1045, 1045]
አንዱንም ; [2798, 12]
ያለ ; [10430, 1849, 861]
ተቀየመኝ ; [1, 1]
አልቻልኩም ; [5530, 5530]
ፈጣን ; [214, 16]
አራት ; [403, 403, 403, 30, 30, 30, 11, 11, 11]
እንደሄደች ; [1644, 1644]
ካነሱት ; [312, 312, 312, 40, 40, 40]
ታጋዮች ; [44]
ደረሰ ; [1724, 1]
ብትመጣ ; [1280, 1280]
አይኖሯትም ; [380, 380, 380, 380]
ተማሪዋን ; [549]
አየቻት ; [1045, 1045]
በሰጠሁት ; [570, 570, 570]
የምበላ ; [123, 123]
በልታ ; [123, 123, 1, 1, 1]
ከፍቼ ; [116, 9, 5]
ስገባ ; [959, 959]
ስልክ ; [343, 137]
ያርሳሉ ; [19, 1]
በበሬ ; [227, 12, 12]
መዘመሯ ; [4]
በሽተኛውን ; [24]
የገዛው ; [79, 79, 7]
የሱፍ ; [17, 1]
አምስቱም ; [460, 460]
ተበላ ; [123, 123, 123, 123]
በሩ ; [227, 9]
ልግባ ; [959, 959]
አልግባ ; [959, 959]
አልጠይቅህም ; [1145, 1145]
እንደሚጠጣና ; [72, 72]
እንደማይጠጣ ; [72, 72]
ኮቴን ; [15, 2]
አምጣልኝ ; [1280, 1, 1]
ልመጣና ; [1280, 1280, 1280]
መኖር ; [890]
ባህር ዳር ; [26]
ዘገየ ; [14, 1]
አረግሽው ; [32, 32, 32]
ማዕረጉን ; [65, 1]
ሳይመጡ ; [1280, 1280, 3]
ቢቀሩስ ; [594, 594, 1]
ካልበላች ; [123, 123]
ሟች ; [53]
ለፋሲካ ; [62]
እርሱም ; [1169, 140, 51]
ደግሞ ; [3119, 212]
ለምሳ ; [16, 14]
አትግዛ ; [79, 79, 1]
በሆንሁ ; [20636, 20636]
እንደምትቆይ ; [1, 1]
ካለህ ; [10430, 10430, 1849, 1849, 1849, 1849]
እራት ; [30, 30, 10]
መስመሩን ; [287]
አሰመረች ; [9]
ቢፈጅም ; [57, 57]
ሀገሬስ ; [1216, 1]
አልመለስም ; [383, 383]
አልገዛችም ; [79, 79]
ያገኘው ; [1, 1, 1]
የተመኘውን ; [1, 1]
የላቸውም ; [1849, 1849]
ቢበሉ ; [123, 123]
አስጠፉት ; [351, 351]
እያወቃት ; [1643, 3]
ጠላት ; [95, 16]
አይቻልም ; [5530, 5530, 5530]
ካገር ; [1319, 1]
እስኪወጣ ; [805, 805]
አልተሳካም ; [9, 9]
ገንዘብም ; [1184]
ምክርም ; [196]
ሰጠኝ ; [570, 1]
ሳይመጣ ; [1280, 1280]
የምትመጣ ; [1280, 1280]
ዘለለ ; [42, 1]
ትመጣለች ; [1280, 1280, 3]
ገነጣጥላ ; [4, 4, 4]
አልነበሩኝም ; [3769, 3769]
ስሠራ ; [899, 899]
አላወቀችም ; [1643, 1643]
ካዋቂ ; [34, 34]
ተሰጠው ; [570, 570]
አይነግረኝም ; [609, 609]
አየሃት ; [1045, 1045]
አሮጌ ; [42, 42]
ብላት ; [10430, 10430, 123]
እሰጣቸዋለሁ ; [570, 570, 1, 1]
ደረቁን ; [63, 41, 41]
እፎይ ; [1, 1]
ይኸው ; [14266, 132]
በመጨረሻ ; [663]
ደረስን ; [1724, 5]
ማሳውን ; [5, 1]
አጥሮታል ; [98, 11]
በሽታዋን ; [93, 2, 1]
ሂያጅ ; [1, 1]
